Year,Location,Medal,Artist,FigureName,Category
2023,Chicago AdeptiCon,Silver,Neil Hollis,Dark Eldar Archon,The Open Competition
2023,Chicago AdeptiCon,Bronze,Erik Swinson,Imperial Fist,The Open Competition
2022,Chicago AdeptiCon,Gold,Robin McLeod,Kor'sarro Khan,"Warhammer 40000: Single Miniature"
2022,Chicago AdeptiCon,Silver,Steve Garcia,Master Lazarus,"Warhammer 40000: Single Miniature"
2022,Chicago AdeptiCon,Bronze,Alexandre Dos Santos,Eisenbrecht,"Warhammer 40000: Single Miniature"
2022,Chicago AdeptiCon,Gold,Andy Wardle,Saint Celestine,"Warhammer 40000: Squad"
2022,Chicago AdeptiCon,Silver,Nikolas Rubens Mortensen,Black Templars,"Warhammer 40000: Squad"
2022,Chicago AdeptiCon,Bronze,Matthew Avis,Blood Angels,"Warhammer 40000: Squad"
2022,Chicago AdeptiCon,Gold,John Margiotta,Nurgle Leviathan,"Warhammer 40000: Vehicle"
2022,Chicago AdeptiCon,Silver,Will Hahn,Morvenn Vahl,"Warhammer 40000: Vehicle"
2022,Chicago AdeptiCon,Bronze,Alexis L'Huillier,Imperial Fist Contemptor,"Warhammer 40000: Vehicle"
2022,Chicago AdeptiCon,Gold,James Cordwell,Illuminor Szeras,"Warhammer 40000: Large Model"
2022,Chicago AdeptiCon,Silver,Martyn Evans,Mortarion,"Warhammer 40000: Large Model"
2022,Chicago AdeptiCon,Bronze,Sam Lenz,Ghazghkull Thraka,"Warhammer 40000: Large Model"
2022,Chicago AdeptiCon,Gold,Gavin Garza,Huachi,Warhammer: Age of Sigmar Single Miniature
2022,Chicago AdeptiCon,Silver,Katarzyna Górska,"Sigvald, Prince of Slaanesh",Warhammer: Age of Sigmar Single Miniature
2022,Chicago AdeptiCon,Bronze,Robin McLeod,Ghulgoch the Butcher,Warhammer: Age of Sigmar Single Miniature
2022,Chicago AdeptiCon,Gold,Robin McLeod,The Crimson Court,Warhammer: Age of Sigmar Unit
2022,Chicago AdeptiCon,Silver,Mamikon Khachikyan,Chaos Knights,Warhammer: Age of Sigmar Unit
2022,Chicago AdeptiCon,Bronze,Anthony Wang,Sepulchral Guard,Warhammer: Age of Sigmar Unit
2022,Chicago AdeptiCon,Gold,Alexis L'Huillier,Mindstealer Sphiranx,Warhammer: Age of Sigmar Large Model
2022,Chicago AdeptiCon,Silver,David Paz,Loonboss on Mangler Squigs,Warhammer: Age of Sigmar Large Model
2022,Chicago AdeptiCon,Bronze,Sam Lenz,The Great Unclean One,Warhammer: Age of Sigmar Large Model
2022,Chicago AdeptiCon,Gold,Andy Wardle,Hallowed Ground,Diorama & Battle Scene
2022,Chicago AdeptiCon,Silver,David Paz,And They Shall Know No Fear,Diorama & Battle Scene
2022,Chicago AdeptiCon,Bronze,Mamikon Khachikyan,"Battle for Ophelia VII, Indomitus Crusade",Diorama & Battle Scene
2022,Chicago AdeptiCon,Gold,Steve Garcia,Lion el'jonson vs Leman Russ,Duel
